# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
C: 63
  C1       1000uF                       38.05     69.90  Capacitor_THT:CP_Radial_D8.0mm_P3.50mm
  C2       470uF                       101.79     49.45  PCM_synthseqr:865060253008
  C3       100uF                        49.06     58.56  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C4       100nF                        36.49    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C5       100nF                        52.99    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C6       100nF                        69.55    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C7       C3225X7R1C106M200AB          51.46     37.63  PCM_synthseqr:CAPC3225X200N
  C8       100nF                       102.64    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C9       100nF                       118.16    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C10      100nF                       134.71    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C11      100nF                       152.35    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C12      100nF                       283.71    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C13      100nF                       268.19    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C14      100nF                       251.66    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C15      100nF                       235.12    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C16      100nF                       217.51    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C17      100nF                       201.98    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C18      100nF                       168.90    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C19      100nF                        42.28    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C20      100nF                        86.00    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C21      100nF                       185.46    162.78  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C22      100nF                        58.68    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C23      100nF                        75.22    179.45  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C24      100nF                        92.05    179.44  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C25      100nF                       108.34    179.45  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C26      100nF                       124.92    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C27      100nF                       141.51    179.45  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C28      100nF                       157.97    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C29      100nF                       174.52    179.35  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C30      100nF                       191.19    179.42  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C31      100nF                       207.62    179.45  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C32      100nF                       224.35    179.36  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C33      100nF                       240.87    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C34      100nF                       257.25    179.51  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C35      100nF                       273.94    179.40  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C36      100nF                       290.67    179.43  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C37      100nF                       143.18     70.18  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C38      100nF                       161.28     70.18  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C39      100nF                       179.35     70.19  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C40      100nF                       197.61     70.19  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C41      100nF                       215.58     70.28  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C42      100nF                       233.62     70.19  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C43      100nF                       251.68     70.19  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C44      100nF                       269.80     70.26  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C45      100nF                       143.14     91.20  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C46      100nF                       161.32     91.26  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C47      100nF                       179.47     91.16  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C48      100nF                       197.38     91.16  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C49      100nF                       215.38     91.20  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C50      100nF                       233.78     91.26  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C51      100nF                       251.78     91.44  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C52      100nF                       269.98     91.28  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C53      100nF                        65.30     90.96  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C54      100nF                        87.00     91.06  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C55      100nF                       109.30     91.06  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C56      100nF                       131.40     91.20  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C57      100nF                        92.21     22.48  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C58      100nF                       106.82    111.77  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C59      100nF                       178.42    145.99  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C60      100nF                       228.51     33.34  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C61      100nF                       112.79     46.75  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C62      100nF                        52.89    193.47  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C63      100nF                        92.94     30.24  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
D: 4
